Raw.file	Condition	BioReplicate	Batch	Experiment	Sample name		
PXD007160-Sample-1-TMT126	Global Internal Standard	0	batch 1	1 PXD007160-Sample-1	PXD007160-Sample-1-TMT126		1
PXD007160-Sample-1-TMT127C	Alzheimer's disease	3	batch 1	3 PXD007160-Sample-1	PXD007160-Sample-1-TMT127C		1
PXD007160-Sample-1-TMT127N	Alzheimer's disease	2	batch 1	2 PXD007160-Sample-1	PXD007160-Sample-1-TMT127N		1
PXD007160-Sample-1-TMT128C	Control	5	batch 1	5 PXD007160-Sample-1	PXD007160-Sample-1-TMT128C		1
PXD007160-Sample-1-TMT128N	Control	4	batch 1	4 PXD007160-Sample-1	PXD007160-Sample-1-TMT128N		1
PXD007160-Sample-1-TMT129C	Parkinson's disease	7	batch 1	7 PXD007160-Sample-1	PXD007160-Sample-1-TMT129C		1
PXD007160-Sample-1-TMT129N	Parkinson's disease	6	batch 1	6 PXD007160-Sample-1	PXD007160-Sample-1-TMT129N		1
PXD007160-Sample-1-TMT130C	Alzheimer's disease	9	batch 1	9 PXD007160-Sample-1	PXD007160-Sample-1-TMT130C		1
PXD007160-Sample-1-TMT130N	Alzheimer's disease	8	batch 1	8 PXD007160-Sample-1	PXD007160-Sample-1-TMT130N		1
PXD007160-Sample-1-TMT131	Global Internal Standard	0	batch 1	10 PXD007160-Sample-1	PXD007160-Sample-1-TMT131		1
PXD007160-Sample-2-TMT126	Global Internal Standard	0	batch 2	1 PXD007160-Sample-2	PXD007160-Sample-2-TMT126		1
PXD007160-Sample-2-TMT127C	Alzheimer's disease	3	batch 2	3 PXD007160-Sample-2	PXD007160-Sample-2-TMT127C		1
PXD007160-Sample-2-TMT127N	Alzheimer's disease	2	batch 2	2 PXD007160-Sample-2	PXD007160-Sample-2-TMT127N		1
PXD007160-Sample-2-TMT128C	Control	5	batch 2	5 PXD007160-Sample-2	PXD007160-Sample-2-TMT128C		1
PXD007160-Sample-2-TMT128N	Control	4	batch 2	4 PXD007160-Sample-2	PXD007160-Sample-2-TMT128N		1
PXD007160-Sample-2-TMT129C	Parkinson's disease	7	batch 2	7 PXD007160-Sample-2	PXD007160-Sample-2-TMT129C		1
PXD007160-Sample-2-TMT129N	Parkinson's disease	6	batch 2	6 PXD007160-Sample-2	PXD007160-Sample-2-TMT129N		1
