source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[MS2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[batch identifier]	factor value[developmental stage]	factor value[organism part]
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f01.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f02.raw	NT=high pH RPLC;AC=PRIDE:0000564	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f03.raw	NT=high pH RPLC;AC=PRIDE:0000564	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f04.raw	NT=high pH RPLC;AC=PRIDE:0000564	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f05.raw	NT=high pH RPLC;AC=PRIDE:0000564	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f06.raw	NT=high pH RPLC;AC=PRIDE:0000564	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f07.raw	NT=high pH RPLC;AC=PRIDE:0000564	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f08.raw	NT=high pH RPLC;AC=PRIDE:0000564	8	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f09.raw	NT=high pH RPLC;AC=PRIDE:0000564	9	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f10.raw	NT=high pH RPLC;AC=PRIDE:0000564	10	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
PXD000561-Sample-1	Homo sapiens	Adrenal gland	Adrenal gland	Adult	not available	not available	not applicable	not available	not available	1	organism part	Adult_Adrenalgland_insolution_digestion	proteomic profiling by mass spectrometry	PXD000561	Adult_Adrenalgland_bRP_Velos_1_f11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f11.raw	NT=high pH RPLC;AC=PRIDE:0000564	11	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	1	Adult	Adrenal gland
