source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[sample identifier]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[individual]	comment[proteomexchange accession number]	comment[data file]	assay name	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[batch identifier]
PXD004352-Sample-1	Homo sapiens	Blood	Blood	B Cells Memory	not available	not available	not available	normal	B.memory_01 (activated)	adult	1	1	PXD004352	B.memory_01 (activated).raw	B Cells Memory_Activated-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.memory_01 (activated).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-2	Homo sapiens	Blood	Blood	B Cells Memory	not available	not available	not available	normal	B.memory_02 (activated)	adult	2	2	PXD004352	B.memory_02 (activated).raw	B Cells Memory_Activated-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.memory_02 (activated).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-3	Homo sapiens	Blood	Blood	B Cells Memory	not available	not available	not available	normal	B.memory_03 (activated)	adult	3	3	PXD004352	B.memory_03 (activated).raw	B Cells Memory_Activated-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.memory_03 (activated).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-4	Homo sapiens	Blood	Blood	B Cells Memory	not available	not available	not available	normal	B.memory_04 (activated)	adult	4	4	PXD004352	B.memory_04 (activated).raw	B Cells Memory_Activated-4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.memory_04 (activated).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-5	Homo sapiens	Blood	Blood	B Cells Memory	not available	not available	not available	normal	B.memory_01 (steady-state)	adult	1	1	PXD004352	B.memory_01 (steady-state).raw	B Cells Memory_Steady state-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.memory_01 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-6	Homo sapiens	Blood	Blood	B Cells Memory	not available	not available	not available	normal	B.memory_02 (steady-state)	adult	2	2	PXD004352	B.memory_02 (steady-state).raw	B Cells Memory_Steady state-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.memory_02 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-7	Homo sapiens	Blood	Blood	B Cells Memory	not available	not available	not available	normal	B.memory_03 (steady-state)	adult	3	3	PXD004352	B.memory_03 (steady-state).raw	B Cells Memory_Steady state-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.memory_03 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-8	Homo sapiens	Blood	Blood	B Cells Memory	not available	not available	not available	normal	B.memory_04 (steady-state)	adult	4	4	PXD004352	B.memory_04 (steady-state).raw	B Cells Memory_Steady state-4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.memory_04 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-9	Homo sapiens	Blood	Blood	B Cells Naive	not available	not available	not available	normal	B.naive_01 (activated)	adult	1	1	PXD004352	B.naive_01 (activated).raw	B Cells Naive_Activated-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.naive_01 (activated).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-10	Homo sapiens	Blood	Blood	B Cells Naive	not available	not available	not available	normal	B.naive_02 (activated)	adult	2	2	PXD004352	B.naive_02 (activated).raw	B Cells Naive_Activated-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.naive_02 (activated).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-11	Homo sapiens	Blood	Blood	B Cells Naive	not available	not available	not available	normal	B.naive_03 (activated)	adult	3	3	PXD004352	B.naive_03 (activated).raw	B Cells Naive_Activated-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.naive_03 (activated).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-12	Homo sapiens	Blood	Blood	B Cells Naive	not available	not available	not available	normal	B.naive_04 (activated)	adult	4	4	PXD004352	B.naive_04 (activated).raw	B Cells Naive_Activated-4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.naive_04 (activated).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-13	Homo sapiens	Blood	Blood	B Cells Naive	not available	not available	not available	normal	B.naive_01 (steady-state)	adult	1	1	PXD004352	B.naive_01 (steady-state).raw	B Cells Naive_Steady state-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.naive_01 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-14	Homo sapiens	Blood	Blood	B Cells Naive	not available	not available	not available	normal	B.naive_02 (steady-state)	adult	2	2	PXD004352	B.naive_02 (steady-state).raw	B Cells Naive_Steady state-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.naive_02 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-15	Homo sapiens	Blood	Blood	B Cells Naive	not available	not available	not available	normal	B.naive_03 (steady-state)	adult	3	3	PXD004352	B.naive_03 (steady-state).raw	B Cells Naive_Steady state-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/B.naive_03 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
