source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[individual]	comment[proteomexchange accession number]	comment[data file]	assay name	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[label]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[batch identifier]	factor value[disease]	factor value[organism part]
PXD015079-Sample-1	Homo sapiens	Brain	Prefrontal cortex	not available	not available	not available	not available	Control	adult	1	1	PXD015079	190319-Labrie-3366-PFCX.raw	Control Prefrontal Cortex 1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015079/190319-Labrie-3366-PFCX.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=label free sample;AC=MS:1002038	20 ppm	0.5 Da	1	1	Control	Prefrontal cortex
PXD015079-Sample-2	Homo sapiens	Brain	Prefrontal cortex	not available	not available	not available	not available	Control	adult	4	4	PXD015079	190319-Labrie-3454-PFCX.raw	Control Prefrontal Cortex 2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015079/190319-Labrie-3454-PFCX.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=label free sample;AC=MS:1002038	20 ppm	0.5 Da	1	1	Control	Prefrontal cortex
PXD015079-Sample-3	Homo sapiens	Brain	Prefrontal cortex	not available	not available	not available	not available	Control	adult	6	6	PXD015079	190319-Labrie-3512-PFCX.raw	Control Prefrontal Cortex 3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015079/190319-Labrie-3512-PFCX.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=label free sample;AC=MS:1002038	20 ppm	0.5 Da	1	1	Control	Prefrontal cortex
PXD015079-Sample-4	Homo sapiens	Large intestine	Vermiform appendix	not available	not available	not available	not available	Control	adult	1	1	PXD015079	190319-Labrie-3366-APP.raw	Control Vermiform Appendix 1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015079/190319-Labrie-3366-APP.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=label free sample;AC=MS:1002038	20 ppm	0.5 Da	1	1	Control	Vermiform appendix
PXD015079-Sample-5	Homo sapiens	Large intestine	Vermiform appendix	not available	not available	not available	not available	Control	adult	4	4	PXD015079	190319-Labrie-3454-APP.raw	Control Vermiform Appendix 2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015079/190319-Labrie-3454-APP.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=label free sample;AC=MS:1002038	20 ppm	0.5 Da	1	1	Control	Vermiform appendix
PXD015079-Sample-6	Homo sapiens	Large intestine	Vermiform appendix	not available	not available	not available	not available	Control	adult	6	6	PXD015079	190319-Labrie-3512-APP.raw	Control Vermiform Appendix 3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015079/190319-Labrie-3512-APP.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=label free sample;AC=MS:1002038	20 ppm	0.5 Da	1	1	Control	Vermiform appendix
PXD015079-Sample-7	Homo sapiens	Brain	Prefrontal cortex	not available	not available	not available	not available	Parkinson's disease	adult	2	2	PXD015079	190319-Labrie-3369-PFCX.raw	Parkinsons disease Prefrontal Cortex 1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015079/190319-Labrie-3369-PFCX.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=label free sample;AC=MS:1002038	20 ppm	0.5 Da	1	1	Parkinson's disease	Prefrontal cortex
PXD015079-Sample-8	Homo sapiens	Brain	Prefrontal cortex	not available	not available	not available	not available	Parkinson's disease	adult	3	3	PXD015079	190319-Labrie-3441-PFCX.raw	Parkinsons disease Prefrontal Cortex 2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015079/190319-Labrie-3441-PFCX.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=label free sample;AC=MS:1002038	20 ppm	0.5 Da	1	1	Parkinson's disease	Prefrontal cortex
PXD015079-Sample-9	Homo sapiens	Brain	Prefrontal cortex	not available	not available	not available	not available	Parkinson's disease	adult	5	5	PXD015079	190319-Labrie-3461-PFCX.raw	Parkinsons disease Prefrontal Cortex 3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015079/190319-Labrie-3461-PFCX.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=label free sample;AC=MS:1002038	20 ppm	0.5 Da	1	1	Parkinson's disease	Prefrontal cortex
PXD015079-Sample-10	Homo sapiens	Large intestine	Vermiform appendix	not available	not available	not available	not available	Parkinson's disease	adult	2	2	PXD015079	190319-Labrie-3369-APP.raw	Parkinsons disease Vermiform Appendix 1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015079/190319-Labrie-3369-APP.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	NT=label free sample;AC=MS:1002038	20 ppm	0.5 Da	1	1	Parkinson's disease	Vermiform appendix
