source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[diagnosis]	characteristics[sample type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[patient ID]	characteristics[biological replicate]	assay name	comment[technical replicate]	comment[fraction identiier]	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[data file]	comment[uri]	comment[database]	factor value[organism part]
PXD047742-Sample-1	Homo sapiens	blood	B cell	B cell	normal	normal	normal	not available	not available	not available	adult	not available	1	B cell-1	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	B_1.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/B_1.raw	MASSIVE	B cell
PXD047742-Sample-2	Homo sapiens	blood	B cell	B cell	normal	normal	normal	not available	not available	not available	adult	not available	2	B cell-2	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	B_2.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/B_2.raw	MASSIVE	B cell
PXD047742-Sample-3	Homo sapiens	blood	B cell	B cell	normal	normal	normal	not available	not available	not available	adult	not available	3	B cell-3	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	B_3.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/B_3.raw	MASSIVE	B cell
PXD047742-Sample-4	Homo sapiens	blood	B cell	B cell	normal	normal	normal	not available	not available	not available	adult	not available	4	B cell-4	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	B_4.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/B_4.raw	MASSIVE	B cell
PXD047742-Sample-5	Homo sapiens	blood	B cell	B cell	normal	normal	normal	not available	not available	not available	adult	not available	5	B cell-5	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	B_5.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/B_5.raw	MASSIVE	B cell
PXD047742-Sample-6	Homo sapiens	blood	B cell	B cell	normal	normal	normal	not available	not available	not available	adult	not available	6	B cell-6	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	B_6.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/B_6.raw	MASSIVE	B cell
PXD047742-Sample-7	Homo sapiens	blood	B cell	B cell	normal	normal	normal	not available	not available	not available	adult	not available	7	B cell-7	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	B_7.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/B_7.raw	MASSIVE	B cell
PXD047742-Sample-8	Homo sapiens	blood	B cell	B cell	normal	normal	normal	not available	not available	not available	adult	not available	8	B cell-8	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	B_8.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/B_8.raw	MASSIVE	B cell
PXD047742-Sample-9	Homo sapiens	blood	B cell	B cell	normal	normal	normal	not available	not available	not available	adult	not available	9	B cell-9	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	B_9.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/B_9.raw	MASSIVE	B cell
PXD047742-Sample-10	Homo sapiens	blood	B cell	B cell	normal	normal	normal	not available	not available	not available	adult	not available	10	B cell-10	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	B_10.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/B_10.raw	MASSIVE	B cell
